track_name,artists,Rank,Year,track_id,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
live for the night,krewella,41,2013,457p7UH7hoHrbA2iI4PSCA,Get Wet,50,206480,True,0.499,0.843,6,-2.224,1,0.113,0.0138,0.0,0.124,0.533,127.932,4,dub
live like we're dying,kris allen,45,2010,1HfxPaJggVwFsvOtHbVzMz,Kris Allen,55,212506,False,0.589,0.893,0,-2.948,1,0.0397,0.0273,0.0,0.343,0.94,92.011,4,acoustic
livin' on a prayer,bon jovi,24,2023,4We0B3YSBF7utFlQtns2em,Обратно в клас - rock,1,250626,False,0.527,0.89,0,-3.335,1,0.0338,0.0678,0.000162,0.222,0.818,122.494,4,metal
lo/hi,the black keys,28,2019,25YlltWXRb9k7KbrEBRuhJ,"""Let's Rock""",61,177768,False,0.606,0.679,2,-7.445,1,0.0321,0.0151,0.000433,0.0962,0.707,122.016,4,garage
locked out of heaven,bruno mars,19,2014,3w3y8KPTfNeOKPiqUTakBh,Unorthodox Jukebox,87,233478,False,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,4,dance
lonely,akon,50,2005,4v7DCN09hgXkKazefkznDQ,Trouble Deluxe Edition,81,235800,True,0.634,0.526,5,-7.881,0,0.0333,0.339,0.0,0.257,0.623,90.087,4,dance
lonely boy,the black keys,41,2013,5G1sTBGbZT5o4PNRc75RKI,El Camino,73,193653,False,0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3,4,blues
lose you to love me,selena gomez,45,2020,5uBYhOCQC4NpqmnCgfzFw4,REGNIG DAG,1,206458,False,0.516,0.342,4,-8.985,1,0.0425,0.55,0.0,0.21,0.0993,102.819,4,dance
loser like me,glee cast,33,2011,3iAvTn62s7rvE6hm6fFodt,"Glee: The Music, Volume 5",53,199000,False,0.701,0.864,3,-4.351,1,0.0631,0.00331,0.0,0.0421,0.811,106.032,4,club
losing my religion,r.e.m.,16,2023,7oMO1B9CB4ZPYPLeVe32OY,90's Music Grandi Successi,0,268426,False,0.666,0.854,9,-5.051,0,0.0295,0.179,1.2e-06,0.0986,0.803,125.637,4,alt-rock
lost cause,billie eilish,40,2021,4TmPunCnlJjiKu2iYhqapU,Halloween & Chill,0,212496,True,0.671,0.336,10,-8.494,0,0.241,0.705,0.00751,0.0577,0.518,75.051,4,electro
lost in the woods,jonathan groff,50,2019,7namdlOhbtsc8FvoSafOQt,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),66,180762,False,0.366,0.478,8,-6.972,1,0.0277,0.695,8.91e-06,0.124,0.293,149.307,4,show-tunes
louder than bombs,bts,8,2020,4Aw8n6r2vuU0KUo1a2nftp,MAP OF THE SOUL : 7,71,217404,False,0.643,0.667,0,-6.947,0,0.151,0.0432,0.0,0.0904,0.478,145.999,4,k-pop
love,keyshia cole,40,2023,0W4NhJhcqKCqEP2GIpDCDq,The Way It Is,76,255333,False,0.688,0.519,5,-4.285,1,0.0283,0.064,0.0,0.1,0.318,116.714,4,soul
love don't die,the fray,33,2014,6IDDwI0YOCAUDhMZltQekS,Helios,56,183093,False,0.632,0.805,11,-4.488,0,0.0303,0.0095,0.0,0.197,0.275,115.489,4,piano
love drunk,boys like girls,43,2010,20X9OeC606XNwEtDBOym5u,Love Drunk,65,226706,False,0.44,0.976,10,-3.17,1,0.141,0.00177,3.39e-06,0.16,0.412,150.005,4,punk-rock
love in the dark,adele,26,2015,0DuWDLjriRPjDRoPgaCslY,25,78,285935,False,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821,4,british
love is a game,adele,33,2021,2j3GxEsbNYNeEzz86wDY4J,30,67,403044,False,0.269,0.591,10,-5.79,0,0.0416,0.453,0.000695,0.0702,0.228,183.793,4,british
love like that,lauv,40,2020,23tJmuwvUOa2kTsOlNMWCS,~how i'm feeling~ (the extras),65,184556,False,0.679,0.481,3,-9.045,1,0.0593,0.208,1.02e-05,0.284,0.486,80.011,4,electro
love me like you do,ellie goulding,34,2022,0Cy7wt6IlRfBPHXXjmZbcP,Fifty Shades Freed (Original Motion Picture Soundtrack),79,253520,False,0.489,0.597,5,-6.633,0,0.0292,0.27,0.0,0.105,0.324,95.012,4,dance
love me now,john legend,49,2017,6nxQdXa1uAL0rY72wPZu89,DARKNESS AND LIGHT,65,210293,False,0.495,0.762,8,-3.842,1,0.0862,0.591,0.0,0.0763,0.708,123.893,4,soul
love on the weekend,john mayer,44,2017,0oiCeOPwm4zhwfyIpAE37y,The Search for Everything,66,212320,False,0.718,0.583,7,-7.884,1,0.0288,0.623,0.000681,0.0612,0.422,119.971,4,singer-songwriter
love runs out,onerepublic,50,2014,3cOO5IQtOYs7huq4Z6lYfr,Native,64,224853,False,0.715,0.931,7,-3.793,1,0.0565,0.171,0.0,0.0757,0.742,120.025,4,piano
love song,sara bareilles,35,2008,4E6cwWJWZw2zWf7VFbH7wf,Little Voice,73,258826,False,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,4,acoustic
love story,taylor swift,46,2009,1D4PL9B8gOg78jiHg3FvBb,Fearless (Big Machine Radio Release Special),77,236266,False,0.617,0.741,2,-3.97,1,0.0311,0.131,0.0,0.0772,0.306,118.984,4,pop
love you like a love song,selena gomez & the scene,21,2012,0laYHRpNTS6i8FXdupHkJ4,When The Sun Goes Down,81,188453,False,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,4,dance
love yourself,justin bieber,43,2016,50kpGaPAhYJ3sGmk6vplg0,Purpose (Deluxe),84,233720,False,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,4,pop
lovely day,bill withers,32,2021,0bRXwKfigvpKZUurwqAlEh,Menagerie,76,254560,False,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,4,funk
lover,taylor swift,33,2020,6X7pjnNm5dHSUot6hp3KFU,Autumn Vibes 2022,0,221306,False,0.359,0.543,7,-7.582,1,0.0915,0.492,1.57e-05,0.118,0.453,68.505,4,pop
